ID Imagem,creation_time,Texto Post,Alvo do Humor,Tipos de Humor,Enquadramentos Antigênero,Comunidades de Sentido do Meme,surface.name,Objeto do Meme,Raça,Descrição da Página,URL da Página,Produtor do meme,Nome da Página,RedPill (Página),statistics.angry_count,statistics.care_count,statistics.comment_count,statistics.haha_count,statistics.like_count,statistics.love_count,statistics.reaction_count,statistics.sad_count,statistics.share_count,statistics.views
1301050014369978.jpg,2019-12-29T08:53:25-08:00,"E se você reparar no nome do arroz, perceberá também a intenção dele de tirar a visibilidade da questão das Cotas.

É preocupante.
#fascismo",Ideia/Grupo,Agressivo,"""Empoleirada""",Antifeminista,"A Feminista, Jessicão",Mulher,Não,"Prof. Jessique - Socialismo, feminismo, ódio do bem, ciranda no mato... Esquerdismos em geral 🌈",Nova página: https://www.facebook.com/jessiqueofc,Não,"A Feminista, Jessicão",Não,0,0,77,448,95,2,563,14,53,19706
2483337688529289.jpg,2020-02-03T09:34:24-08:00,Conscientize-se,Ideia/Grupo,Agressivo,"""Empoleirada""",Antifeminista,"A Feminista, Jessicão",Mulher,Não,"Prof. Jessique - Socialismo, feminismo, ódio do bem, ciranda no mato... Esquerdismos em geral 🌈",Nova página: https://www.facebook.com/jessiqueofc,Não,"A Feminista, Jessicão",Não,0,0,27,318,77,9,410,0,27,7081
576926911762127.jpg,2021-02-16T08:23:46-08:00,"A VERDADE SOBRE KONG E GODZILLA

Então pessoal, a verdade é que apesar da guerra de memes ser legal, tanto essa versão moderna do Kong quanto à do Godzilla são uma bosta. Ou melhor, seus filmes são uma bosta.

No do Kong aquela ilha da caveira parece o sítio da minha avó, diferente da ilha do filme de 2005 que era super imersiva e aterrorizante. Pra piorar temos a Brie Chata Larson, fazendo papel de tábua inexpressiva mais uma vez, e tudo isso, temperado com crítica ao militarismo e corrida armamentista. Crítica essa com a profundidade de uma piscina de bolinhas.

E os filmes do Godzilla? O primeiro é tão esquecível que ninguém lembra. Já no segundo meuamigos... Temos crítica à poluição, ambientalismo boboca, temos aquela véia cientista ambientalista chata, tem a feministeen chata do Stranger Things e até ""ume general negrx gênero neutro não binárie"" (a que está na foto abaixo).

Fora que os dois personagens têm menos de 10 minutos de tela. O lance é skipar os filmes e ver só um compilado dos 15 min de lutas que haverão nesse filme que com certeza terá duas horas de dramas humanos.

#Joka",Terceiro,Agressivo,"""Empoleirada""",Antifeminista,4 Mundo Memes,Mulher,Sim,Contra a lacração e o politicamente correto,https://www.facebook.com/4mundooficialmemes,4 Mundo Memes,4 Mundo Memes,Não,1,0,89,50,184,8,244,1,11,13919
907998991493178.jpg,2022-07-16T04:06:08-07:00,"Achei empoderado
#InglesFreestyle",Ideia/Grupo,Agressivo,"""Empoleirada""",Antifeminista,"A Feminista, Jessicão",Mulher,Não,"Prof. Jessique - Socialismo, feminismo, ódio do bem, ciranda no mato... Esquerdismos em geral 🌈",Nova página: https://www.facebook.com/jessiqueofc,Não,"A Feminista, Jessicão",Não,1,0,327,1588,282,11,1893,3,137,54347
2056763181453765.jpg,2016-12-14T02:33:01-08:00,"A esquerda é compostas por BANDIDOS hipócritas.

Onde estava a defesa das mulheres quando atacaram essa policial que fazia seu trabalho enquanto esquerdistas faziam terrorismo? CANALHAS!",NA,NA,"""Esquerdopata""",Antifeminista,Rubinho Nunes,Mulher,Não,"🇧🇷 Vereador da Cidade de São Paulo Ⓜ️. 🚀 7º mais votado do Brasil, com 101.549 votos. ✝️ Cristão",https://www.facebook.com/RubinhoNunes.SP,MBL,Rubinho Nunes,Não,6,0,3,0,64,0,77,7,10,
1149300313282638.jpg,2018-06-24T10:42:44-07:00,"O aborto é uma visão demoníaca da sagrada eucaristia. Por isso socialistas usam as mesmas palavras ""este é meu corpo"". 

A diferença é que para Cristo, foi um ato de amor. Para a esquerda é um ato de egoísmo, alimentado pelo ódio.",Ideia/Grupo,Agressivo,"""Esquerdopata""",Antifeminista,Rubinho Nunes,Mulher,Não,"🇧🇷 Vereador da Cidade de São Paulo Ⓜ️. 🚀 7º mais votado do Brasil, com 101.549 votos. ✝️ Cristão",https://www.facebook.com/RubinhoNunes.SP,Não,Rubinho Nunes,Não,0,0,0,1,14,0,18,2,1,1003
1051391976790541.jpg,2021-11-07T06:57:45-08:00,“Especialistas” da Globo aí....,Ideia/Grupo,Agressivo,"""Esquerdopata""",Antifeminista,Marxismo Cultural da Depressão 3.0,Mulher,Não,"Sobrevivendo a censura, 3.0!",https://www.facebook.com/marxismoanticultural,Fantástico Mundo de Marx,Marxismo Cultural da Depressão 3.0,Não,7,0,29,175,125,0,309,0,61,6388
2536338539904454.png,2014-09-25T20:32:43-07:00,"se presente é assim, imagina então futuro... ._.",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Esta é uma Feminista,Mulher,Não,Esta é uma página de humor e uma sátira ao feminismo.,https://www.facebook.com/estaeumafeminista,Não,Esta é uma Feminista,Não,0,0,6,0,126,0,126,0,38,
1178069159890479.jpg,2015-01-23T17:41:42-08:00,"Resumo de um debate com uma feminista.

Mascus
Omi
Corn*
Seu bost*
Seu merd*
Machista
Mimimi
Idiot*
Vai se fod*r
Vaza
Chora
Seu p*u é pequeno
Caga pela boca
Mimimimimimi e etc e tal",Terceiro,Agressivo,"""Feminosta""",Antifeminista,Homens do Passado,Mulher,Não,A regeneração da moda antiga.,https://www.facebook.com/HomensDoPassado,Não,Homens do Passado,Não,0,0,8,0,52,0,52,0,4,
3081759885300601.jpg,2015-03-30T20:19:21-07:00,"""Minha contribuição com a causa antifeminista, em favor da Risqué e da coleção que, diga-se de passagem, está linda! Esse é o 'Guto fez o pedido'. Vai ter Risqué sim! E se reclamar tem adesivo anti-aborto também.""
#Risqué #Homensqueamamos",Ideia/Grupo,Agressivo,"""Feminosta""",Antifeminista,Mulheres contra o feminismo,Mulher,Não,Mulheres e Homens contra o feminismo,https://www.facebook.com/MulheresContraoFeminismo,Não,Mulheres contra o feminismo,Não,0,0,17,0,201,0,201,0,4,
